animal_id,group,experiment,cluster,frequency_seconds
69.5,ELS,1,Locomotion,31.880000000000003
69.5,ELS,1,Sniff,5.359999999999999
69.5,ELS,1,Turn,231.16000000000003
73.1,ELS,1,Climb,14.559999999999999
73.1,ELS,1,Freeze,70.4
73.1,ELS,1,Jump,0.76
73.1,ELS,1,Locomotion,11.120000000000001
73.1,ELS,1,Sniff,58.15999999999998
73.1,ELS,1,Turn,243.08
73.4,ELS,1,Climb,29.799999999999997
73.4,ELS,1,Freeze,63.84
73.4,ELS,1,Groom,0.16
73.4,ELS,1,Jump,4.5600000000000005
73.4,ELS,1,Locomotion,7.200000000000001
73.4,ELS,1,Sniff,64.11999999999999
73.4,ELS,1,Turn,224.00000000000003
74.1,Control,1,Climb,15.600000000000001
74.1,Control,1,Freeze,75.72
74.1,Control,1,Jump,2.7600000000000007
74.1,Control,1,Locomotion,6.72
74.1,Control,1,Sniff,48.44
74.1,Control,1,Turn,237.48000000000002
75.1,ELS,1,Climb,51.48000000000001
75.1,ELS,1,Freeze,40.04
75.1,ELS,1,Groom,0.07999999999999999
75.1,ELS,1,Jump,2.28
75.1,ELS,1,Locomotion,36.8
75.1,ELS,1,Sniff,22.64
75.1,ELS,1,Turn,199.0
80.3,Control,1,Climb,21.399999999999995
80.3,Control,1,Freeze,26.560000000000002
80.3,Control,1,Jump,3.48
80.3,Control,1,Locomotion,16.840000000000003
80.3,Control,1,Sniff,18.520000000000003
80.3,Control,1,Turn,266.52
88.2,ELS,1,Climb,40.04
88.2,ELS,1,Freeze,60.84
88.2,ELS,1,Jump,1.32
88.2,ELS,1,Locomotion,17.52
88.2,ELS,1,Sniff,20.439999999999998
88.2,ELS,1,Turn,214.20000000000002
88.3,ELS,1,Climb,18.96
88.3,ELS,1,Freeze,56.4
88.3,ELS,1,Groom,0.24
88.3,ELS,1,Jump,3.5600000000000005
88.3,ELS,1,Locomotion,36.4
88.3,ELS,1,Sniff,11.040000000000001
88.3,ELS,1,Turn,255.43999999999997
